date,composition,portfolio_value
2021-01-01,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",100.00000000000001
2021-01-02,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",101.68771934370511
2021-01-03,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",100.28677549013506
2021-01-04,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",112.43168000747028
2021-01-05,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",118.66415394024517
2021-01-06,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",135.21214713456743
2021-01-07,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",138.60916552016934
2021-01-08,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",140.04475792510897
2021-01-09,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",138.9435724059787
2021-01-10,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",157.22796069049272
2021-01-11,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",157.13118792007873
2021-01-12,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",139.74753386297124
2021-01-13,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",148.7768571993436
2021-01-14,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",167.8786792751817
2021-01-15,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",168.838363160646
2021-01-16,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",173.35175397601705
2021-01-17,"[('uniswap', 3.1505463091693993), ('aave', 0.17840359581696175), ('havven', 2.025827975831169), ('yearn-finance', 0.000444258306528719), ('compound-governance-token', 0.06101981870221729), ('maker', 0.013366070785453543), ('sushi', 1.8816617449450315), ('republic-protocol', 12.866536825223127), ('0x', 11.0600790368482), ('loopring', 18.402929395782188), ('balancer', 0.15970286850492377), ('bancor', 1.390264224061085), ('1inch', 1.1391081435702797), ('hegic', 4.688642893295003), ('rocket-pool', 0.2365948609455041), ('melon', 0.017987927851016952), ('harvest-finance', 0.005443991694067537), ('barnbridge', 0.012716778867002471), ('origin-protocol', 2.9352661150184196), ('perpetual-protocol', 0.2647300698036768), ('bella-protocol', 0.3085067623924893), ('meta', 0.19383380522577198), ('frax-share', 0.03318849421085281), ('yam-2', 0.15371001712910068), ('badger-dao', 0.020730476181607636), ('pickle-finance', 0.014102938917034779), ('beefy-finance', 0.0010932914983498813), ('rari-governance-token', 0.07867650981614059)]",186.9934582787128
